# rmin   E0   error(E0+0.5)
1.000000000000E-006 -4.999751003657E-001 2.489963434649E-005
1.000000000000E-005 -4.999751003657E-001 2.489963434649E-005
1.000000000000E-004 -4.999751003657E-001 2.489963434649E-005
1.000000000000E-003 -4.999751023639E-001 2.489763610081E-005
