1.000000000000E-006 2.000405710511E-006 9.999990000005E-007
8.009007007007E-003 1.589346442265E-002 7.945118995040E-003
1.601701401401E-002 3.153142356117E-002 1.576251289100E-002
2.402502102102E-002 4.691891290202E-002 2.345469783163E-002
3.203302802803E-002 6.205893341505E-002 3.102317383790E-002
4.004103503504E-002 7.695445394610E-002 3.846942496780E-002
4.804904204204E-002 9.160841165673E-002 4.579491947554E-002
5.605704904905E-002 1.060237123762E-001 5.300110996923E-002
6.406505605606E-002 1.202032309288E-001 6.008943356708E-002
7.207306306306E-002 1.341498114512E-001 6.706131205206E-002
8.008107007007E-002 1.478662677024E-001 7.391815202514E-002
8.808907707708E-002 1.613553833763E-001 8.066134505698E-002
9.609708408408E-002 1.746199123975E-001 8.729226783826E-002
1.041050910911E-001 1.876625792140E-001 9.381228232847E-002
1.121130980981E-001 2.004860790983E-001 1.002227359034E-001
1.201211051051E-001 2.130930784403E-001 1.065249615009E-001
1.281291121121E-001 2.254862150371E-001 1.127202777659E-001
1.361371191191E-001 2.376680983794E-001 1.188099891933E-001
1.441451261261E-001 2.496413099358E-001 1.247953862698E-001
1.521531331331E-001 2.614084034338E-001 1.306777456145E-001
1.601611401401E-001 2.729719051384E-001 1.364583301180E-001
1.681691471471E-001 2.843343141277E-001 1.421383890800E-001
1.761771541542E-001 2.954981025657E-001 1.477191583462E-001
1.841851611612E-001 3.064657159735E-001 1.532018604428E-001
1.921931681682E-001 3.172395734962E-001 1.585877047110E-001
2.002011751752E-001 3.278220681688E-001 1.638778874391E-001
2.082091821822E-001 3.382155671785E-001 1.690735919941E-001
2.162171891892E-001 3.484224121249E-001 1.741759889514E-001
2.242251961962E-001 3.584449192778E-001 1.791862362238E-001
2.322332032032E-001 3.682853798320E-001 1.841054791890E-001
2.402412102102E-001 3.779460601604E-001 1.889348508158E-001
2.482492172172E-001 3.874292020674E-001 1.936754717893E-001
2.562572242242E-001 3.967370230434E-001 1.983284506346E-001
2.642652312312E-001 4.058717164849E-001 2.028948838398E-001
2.722732382382E-001 4.148354519526E-001 2.073758559770E-001
2.802812452452E-001 4.236303754123E-001 2.117724398233E-001
2.882892522523E-001 4.322586094730E-001 2.160856964792E-001
2.962972592593E-001 4.407222536230E-001 2.203166754872E-001
3.043052662663E-001 4.490233844642E-001 2.244664149485E-001
3.123132732733E-001 4.571640559428E-001 2.285359416386E-001
3.203212802803E-001 4.651462995796E-001 2.325262711221E-001
3.283292872873E-001 4.729721246963E-001 2.364384078661E-001
3.363372942943E-001 4.806435186405E-001 2.402733453527E-001
3.443453013013E-001 4.881624470091E-001 2.440320661904E-001
3.523533083083E-001 4.955308538681E-001 2.477155422241E-001
3.603613153153E-001 5.027506619712E-001 2.513247346445E-001
3.683693223223E-001 5.098237729765E-001 2.548605940963E-001
3.763773293293E-001 5.167520676761E-001 2.583240607851E-001
3.843853363363E-001 5.235374061811E-001 2.617160645833E-001
3.923933433433E-001 5.301816281359E-001 2.650375251358E-001
4.004013503504E-001 5.366865529337E-001 2.682893519630E-001
4.084093573574E-001 5.430539799222E-001 2.714724445647E-001
4.164173643644E-001 5.492856886075E-001 2.745876925216E-001
4.244253713714E-001 5.553834388563E-001 2.776359755964E-001
4.324333783784E-001 5.613489710964E-001 2.806181638339E-001
4.404413853854E-001 5.671840065140E-001 2.835351176600E-001
4.484493923924E-001 5.728902472509E-001 2.863876879797E-001
4.564573993994E-001 5.784693765980E-001 2.891767162745E-001
4.644654064064E-001 5.839230591884E-001 2.919030346982E-001
4.724734134134E-001 5.892529411875E-001 2.945674661727E-001
4.804814204204E-001 5.944606504919E-001 2.971708244818E-001
4.884894274274E-001 5.995477969112E-001 2.997139143648E-001
4.964974344344E-001 6.045159723295E-001 3.021975316092E-001
5.045054414414E-001 6.093667509072E-001 3.046224631421E-001
5.125134484484E-001 6.141016892624E-001 3.069894871209E-001
5.205214554555E-001 6.187223266506E-001 3.092993730232E-001
5.285294624625E-001 6.232301851428E-001 3.115528817359E-001
5.365374694695E-001 6.276267698015E-001 3.137507656430E-001
5.445454764765E-001 6.319135688556E-001 3.158937687130E-001
5.525534834835E-001 6.360920538726E-001 3.179826265854E-001
5.605614904905E-001 6.401636799305E-001 3.200180666558E-001
5.685694974975E-001 6.441298857867E-001 3.220008081612E-001
5.765775045045E-001 6.479920940458E-001 3.239315622634E-001
5.845855115115E-001 6.517517113560E-001 3.258110321324E-001
5.925935185185E-001 6.554101285093E-001 3.276399130281E-001
6.006015255255E-001 6.589687206381E-001 3.294188923826E-001
6.086095325325E-001 6.624288473771E-001 3.311486498801E-001
6.166175395395E-001 6.657918530227E-001 3.328298575370E-001
6.246255465465E-001 6.690590666918E-001 3.344631797812E-001
6.326335535536E-001 6.722318024777E-001 3.360492735299E-001
6.406415605606E-001 6.753113596058E-001 3.375887882678E-001
6.486495675676E-001 6.782990225871E-001 3.390823661233E-001
6.566575745746E-001 6.811960613700E-001 3.405306419448E-001
6.646655815816E-001 6.840037314911E-001 3.419342433759E-001
6.726735885886E-001 6.867232742246E-001 3.432937909300E-001
6.806815955956E-001 6.893559167613E-001 3.446098980642E-001
6.886896026026E-001 6.919028722888E-001 3.458831712520E-001
6.966976096096E-001 6.943653401678E-001 3.471142100562E-001
7.047056166166E-001 6.967445060785E-001 3.483036072003E-001
7.127136236236E-001 6.990415421619E-001 3.494519486392E-001
7.207216306306E-001 7.012576071610E-001 3.505598136301E-001
7.287296376376E-001 7.033938465595E-001 3.516277748015E-001
7.367376446446E-001 7.054513927201E-001 3.526563982222E-001
