# rmax   E0   error(E0+0.5)
4.000000000000E+000 -4.832653010990E-001 1.673469890095E-002
6.000000000000E+000 -4.992772860963E-001 7.227139037103E-004
8.000000000000E+000 -4.999751003657E-001 2.489963434649E-005
1.200000000000E+001 -4.999999801900E-001 1.980997654805E-008
1.600000000000E+001 -4.999999999505E-001 4.954670007606E-011
