# tol   E0   error(E0+0.5)
1.000000000000E-003 -4.999756174672E-001 2.438253276060E-005
1.000000000000E-004 -4.999750842687E-001 2.491573132590E-005
1.000000000000E-005 -4.999750992555E-001 2.490074448291E-005
1.000000000000E-006 -4.999751003657E-001 2.489963434649E-005
