# i	 t	 x_true	 y_clipped	 x_declipped	 clipped_flag
0	0	0	0	0	0
1	0.001001001001001	0.0314421909191206	0.0314421909191206	0.0314421909191206	0
2	0.002002002002002	0.0628532900444819	0.0628532900444819	0.0628532900444819	0
3	0.003003003003003	0.0942022363276263	0.0942022363276263	0.0942022363276263	0
4	0.004004004004004	0.125458030180296	0.125458030180296	0.125458030180296	0
5	0.005005005005005	0.156589764128558	0.156589764128558	0.156589764128558	0
6	0.00600600600600601	0.187566653375837	0.187566653375837	0.187566653375837	0
7	0.00700700700700701	0.218358066244645	0.218358066244645	0.218358066244645	0
8	0.00800800800800801	0.248933554466892	0.248933554466892	0.248933554466892	0
9	0.00900900900900901	0.27926288329283	0.27926288329283	0.27926288329283	0
10	0.01001001001001	0.309316061388869	0.309316061388869	0.309316061388869	0
11	0.011011011011011	0.339063370494675	0.339063370494675	0.339063370494675	0
12	0.012012012012012	0.36847539481025	0.36847539481025	0.36847539481025	0
13	0.013013013013013	0.397523050083913	0.397523050083913	0.397523050083913	0
14	0.014014014014014	0.426177612372435	0.426177612372435	0.426177612372435	0
15	0.015015015015015	0.454410746444877	0.454410746444877	0.454410746444877	0
16	0.016016016016016	0.482194533802048	0.482194533802048	0.482194533802048	0
17	0.017017017017017	0.509501500283873	0.509501500283873	0.509501500283873	0
18	0.018018018018018	0.536304643237382	0.536304643237382	0.536304643237382	0
19	0.019019019019019	0.562577458218437	0.562577458218437	0.562577458218437	0
20	0.02002002002002	0.588293965200805	0.588293965200805	0.588293965200805	0
21	0.021021021021021	0.613428734266662	0.613428734266662	0.613428734266662	0
22	0.022022022022022	0.637956910753112	0.637956910753112	0.637956910753112	0
23	0.023023023023023	0.661854239829868	0.661854239829868	0.661854239829868	0
24	0.024024024024024	0.685097090483781	0.685097090483781	0.685097090483781	0
25	0.025025025025025	0.707662478886504	0.707662478886504	0.707662478886504	0
26	0.026026026026026	0.729528091122188	0.729528091122188	0.729528091122188	0
27	0.027027027027027	0.750672305252724	0.750672305252724	0.750672305252724	0
28	0.028028028028028	0.771074212698725	0.771074212698725	0.771074212698725	0
29	0.029029029029029	0.790713638915094	0.790713638915094	0.790713638915094	0
30	0.03003003003003	0.809571163340744	0.8	0.80956992571342	1
31	0.031031031031031	0.827628138602731	0.8	0.827624759992157	1
32	0.032032032032032	0.844866708955818	0.8	0.84485934493329	1
33	0.033033033033033	0.861269827939231	0.8	0.861257228692235	1
34	0.034034034034034	0.876821275233154	0.8	0.876801475634786	1
35	0.035035035035035	0.891505672698284	0.8	0.891477494986731	1
36	0.036036036036036	0.905308499582597	0.8	0.905270212111085	1
37	0.037037037037037	0.918216106880274	0.8	0.918166897117421	1
38	0.038038038038038	0.930215730828604	0.8	0.930154336179385	1
39	0.039039039039039	0.941295505529503	0.8	0.941221660103749	1
40	0.04004004004004	0.951444474683177	0.8	0.951357515688201	1
41	0.041041041041041	0.960652602422321	0.8	0.960552894250122	1
42	0.042042042042042	0.96891078323615	0.8	0.968798303024654	1
43	0.043043043043043	0.97621085097443	0.8	0.9760865936532	1
44	0.044044044044044	0.982545586922628	0.8	0.982410133621768	1
45	0.045045045045045	0.987908726940178	0.8	0.987763634709192	1
46	0.046046046046046	0.992294967654814	0.8	0.992141324465759	1
47	0.047047047047047	0.995699971706838	0.8	0.995539774621146	1
48	0.048048048048048	0.998120372038146	0.8	0.997955072603332	1
49	0.049049049049049	0.999553775221764	0.8	0.999385649906249	1
50	0.0500500500500501	0.999998763828597	0.8	0.999829453648975	1
51	0.0510510510510511	0.999454897829069	0.8	0.999286774903111	1
52	0.0520520520520521	0.997922715028243	0.8	0.997757420292248	1
53	0.0530530530530531	0.995403730534013	0.8	0.995243540279065	1
54	0.0540540540540541	0.991900435258877	0.8	0.991746800805076	1
55	0.0550550550550551	0.987416293456789	0.8	0.987271211537451	1
56	0.0560560560560561	0.981955739297507	0.8	0.981820297549042	1
57	0.0570570570570571	0.975524172481839	0.8	0.975399927524917	1
58	0.0580580580580581	0.968127952902119	0.8	0.968015485482678	1
59	0.0590590590590591	0.959774394353189	0.8	0.959674698938706	1
60	0.0600600600600601	0.950471757300112	0.8	0.95038481066876	1
61	0.0610610610610611	0.940229240709759	0.8	0.940155406833949	1
62	0.0620620620620621	0.929056972954363	0.8	0.9289955887816	1
63	0.0630630630630631	0.916966001796014	0.8	0.916916801130958	1
64	0.0640640640640641	0.903968283462016	0.8	0.903930003614334	1
65	0.0650650650650651	0.890076670821906	0.8	0.890048499122519	1
66	0.0660660660660661	0.875304900677813	0.8	0.875285105586219	1
67	0.0670670670670671	0.859667580180745	0.8	0.859654983981185	1
68	0.0680680680680681	0.843180172386222	0.8	0.843172810249927	1
69	0.0690690690690691	0.825858980963543	0.8	0.825855603266567	1
70	0.0700700700700701	0.807721134073807	0.8	0.807719896798833	1
71	0.0710710710710711	0.788784567432631	0.788784567432631	0.788784567432631	0
72	0.0720720720720721	0.769068006574317	0.769068006574317	0.769068006574317	0
73	0.0730730730730731	0.748590948334991	0.748590948334991	0.748590948334991	0
74	0.0740740740740741	0.727373641573049	0.727373641573049	0.727373641573049	0
75	0.0750750750750751	0.705437067145953	0.705437067145953	0.705437067145953	0
76	0.0760760760760761	0.682802917163189	0.682802917163189	0.682802917163189	0
77	0.0770770770770771	0.659493573535896	0.659493573535896	0.659493573535896	0
78	0.0780780780780781	0.635532085844384	0.635532085844384	0.635532085844384	0
79	0.0790790790790791	0.610942148545423	0.610942148545423	0.610942148545423	0
80	0.0800800800800801	0.585748077541839	0.585748077541839	0.585748077541839	0
81	0.0810810810810811	0.559974786137595	0.559974786137595	0.559974786137595	0
82	0.0820820820820821	0.533647760402123	0.533647760402123	0.533647760402123	0
83	0.0830830830830831	0.506793033968273	0.506793033968273	0.506793033968273	0
84	0.0840840840840841	0.47943716228881	0.47943716228881	0.47943716228881	0
85	0.0850850850850851	0.451607196376895	0.451607196376895	0.451607196376895	0
86	0.0860860860860861	0.423330656056535	0.423330656056535	0.423330656056535	0
87	0.0870870870870871	0.394635502749441	0.394635502749441	0.394635502749441	0
88	0.0880880880880881	0.365550111825219	0.365550111825219	0.365550111825219	0
89	0.0890890890890891	0.336103244542216	0.336103244542216	0.336103244542216	0
90	0.0900900900900901	0.306324019606784	0.306324019606784	0.306324019606784	0
