# i	 t	 x_true	 y_clipped	 x_declipped	 clipped_flag
0	0	0.1	0.1	0.1	0
1	0.000300150075037519	0.119802144001656	0.119802144001656	0.119802144001656	0
2	0.000600300150075037	0.139583626385934	0.139583626385934	0.139583626385934	0
3	0.000900450225112556	0.159312888076173	0.159312888076173	0.159312888076173	0
4	0.00120060030015007	0.178958507533426	0.178958507533426	0.178958507533426	0
5	0.00150075037518759	0.198489270235153	0.198489270235153	0.198489270235153	0
6	0.00180090045022511	0.217874237688276	0.217874237688276	0.217874237688276	0
7	0.00210105052526263	0.237082815822931	0.237082815822931	0.237082815822931	0
8	0.00240120060030015	0.256084822614646	0.256084822614646	0.256084822614646	0
9	0.00270135067533767	0.274850554784393	0.274850554784393	0.274850554784393	0
10	0.00300150075037519	0.293350853428015	0.293350853428015	0.293350853428015	0
11	0.00330165082541271	0.311557168428901	0.311557168428901	0.311557168428901	0
12	0.00360180090045022	0.329441621510527	0.329441621510527	0.329441621510527	0
13	0.00390195097548774	0.346977067788467	0.346977067788467	0.346977067788467	0
14	0.00420210105052526	0.364137155684863	0.364137155684863	0.364137155684863	0
15	0.00450225112556278	0.380896385071961	0.380896385071961	0.380896385071961	0
16	0.0048024012006003	0.397230163515281	0.397230163515281	0.397230163515281	0
17	0.00510255127563782	0.41311486049122	0.41311486049122	0.41311486049122	0
18	0.00540270135067534	0.428527859458396	0.428527859458396	0.428527859458396	0
19	0.00570285142571286	0.443447607666832	0.443447607666832	0.443447607666832	0
20	0.00600300150075038	0.4578536635941	0.4578536635941	0.4578536635941	0
21	0.00630315157578789	0.471726741902856	0.471726741902856	0.471726741902856	0
22	0.00660330165082541	0.485048755819707	0.485048755819707	0.485048755819707	0
23	0.00690345172586293	0.497802856841079	0.497802856841079	0.497802856841079	0
24	0.00720360180090045	0.509973471677751	0.509973471677751	0.509973471677751	0
25	0.00750375187593797	0.521546336355825	0.521546336355825	0.521546336355825	0
26	0.00780390195097549	0.532508527398271	0.532508527398271	0.532508527398271	0
27	0.00810405202601301	0.542848490017673	0.542848490017673	0.542848490017673	0
28	0.00840420210105053	0.552556063257468	0.552556063257468	0.552556063257468	0
29	0.00870435217608804	0.561622502025748	0.561622502025748	0.561622502025748	0
30	0.00900450225112556	0.570040495972659	0.570040495972659	0.570040495972659	0
31	0.00930465232616308	0.577804185169408	0.577804185169408	0.577804185169408	0
32	0.0096048024012006	0.584909172554063	0.584909172554063	0.584909172554063	0
33	0.00990495247623812	0.591352533116487	0.591352533116487	0.591352533116487	0
34	0.0102051025512756	0.597132819802063	0.597132819802063	0.597132819802063	0
35	0.0105052526263132	0.602250066121121	0.602250066121121	0.602250066121121	0
36	0.0108054027013507	0.606705785458348	0.606705785458348	0.606705785458348	0
37	0.0111055527763882	0.610502967083817	0.610502967083817	0.610502967083817	0
38	0.0114057028514257	0.613646068874585	0.613646068874585	0.613646068874585	0
39	0.0117058529264632	0.61614100676317	0.61614100676317	0.61614100676317	0
40	0.0120060030015008	0.617995140936487	0.617995140936487	0.617995140936487	0
41	0.0123061530765383	0.619217258816069	0.619217258816069	0.619217258816069	0
42	0.0126063031515758	0.619817554857562	0.619817554857562	0.619817554857562	0
43	0.0129064532266133	0.619807607214556	0.619807607214556	0.619807607214556	0
44	0.0132066033016508	0.619200351318838	0.619200351318838	0.619200351318838	0
45	0.0135067533766883	0.618010050435951	0.618010050435951	0.618010050435951	0
46	0.0138069034517259	0.616252263261751	0.616252263261751	0.616252263261751	0
47	0.0141070535267634	0.613943808632186	0.613943808632186	0.613943808632186	0
48	0.0144072036018009	0.611102727424976	0.611102727424976	0.611102727424976	0
49	0.0147073536768384	0.607748241738128	0.607748241738128	0.607748241738128	0
50	0.0150075037518759	0.603900711436257	0.603900711436257	0.603900711436257	0
51	0.0153076538269135	0.59958158816158	0.59958158816158	0.59958158816158	0
52	0.015607803901951	0.594813366912056	0.594813366912056	0.594813366912056	0
53	0.0159079539769885	0.589619535294587	0.589619535294587	0.589619535294587	0
54	0.016208104052026	0.584024520566364	0.584024520566364	0.584024520566364	0
55	0.0165082541270635	0.578053634582348	0.578053634582348	0.578053634582348	0
56	0.0168084042021011	0.57173301677157	0.57173301677157	0.57173301677157	0
57	0.0171085542771386	0.565089575269269	0.565089575269269	0.565089575269269	0
58	0.0174087043521761	0.558150926336048	0.558150926336048	0.558150926336048	0
59	0.0177088544272136	0.550945332198996	0.550945332198996	0.550945332198996	0
60	0.0180090045022511	0.543501637453237	0.543501637453237	0.543501637453237	0
61	0.0183091545772886	0.535849204165609	0.535849204165609	0.535849204165609	0
62	0.0186093046523262	0.528017845824992	0.528017845824992	0.528017845824992	0
63	0.0189094547273637	0.520037760286439	0.520037760286439	0.520037760286439	0
64	0.0192096048024012	0.511939461858444	0.511939461858444	0.511939461858444	0
65	0.0195097548774387	0.503753712684617	0.503753712684617	0.503753712684617	0
66	0.0198099049524762	0.495511453572588	0.495511453572588	0.495511453572588	0
67	0.0201100550275138	0.487243734424181	0.487243734424181	0.487243734424181	0
68	0.0204102051025513	0.478981644421799	0.478981644421799	0.478981644421799	0
69	0.0207103551775888	0.470756242126484	0.470756242126484	0.470756242126484	0
70	0.0210105052526263	0.462598485643303	0.462598485643303	0.462598485643303	0
71	0.0213106553276638	0.454539163009567	0.454539163009567	0.454539163009567	0
72	0.0216108054027013	0.446608822960878	0.446608822960878	0.446608822960878	0
73	0.0219109554777389	0.438837706229151	0.438837706229151	0.438837706229151	0
74	0.0222111055527764	0.431255677525577	0.431255677525577	0.431255677525577	0
