0.000000000000E+000 1.000000000000E+000
3.143164235708E-002 9.842916542175E-001
6.286328471415E-002 9.686083973854E-001
9.429492707123E-002 9.529654199323E-001
1.257265694283E-001 9.373778781125E-001
1.571582117854E-001 9.218608792769E-001
1.885898541425E-001 9.064294671730E-001
2.200214964995E-001 8.910986072883E-001
2.514531388566E-001 8.758831722512E-001
2.828847812137E-001 8.607979273053E-001
3.143164235708E-001 8.458575158702E-001
3.457480659278E-001 8.310764452041E-001
3.771797082849E-001 8.164690721823E-001
4.086113506420E-001 8.020495892068E-001
4.400429929991E-001 7.878320102607E-001
4.714746353561E-001 7.738301571218E-001
5.029062777132E-001 7.600576457495E-001
5.343379200703E-001 7.465278728599E-001
5.657695624274E-001 7.332540027018E-001
5.972012047845E-001 7.202489540483E-001
6.286328471415E-001 7.075253874177E-001
6.600644894986E-001 6.950956925359E-001
6.914961318557E-001 6.829719760552E-001
7.229277742128E-001 6.711660495416E-001
7.543594165698E-001 6.596894177432E-001
7.857910589269E-001 6.485532671527E-001
8.172227012840E-001 6.377684548760E-001
8.486543436411E-001 6.273454978192E-001
8.800859859981E-001 6.172945622049E-001
9.115176283552E-001 6.076254534300E-001
9.429492707123E-001 5.983476062754E-001
9.743809130694E-001 5.894700754783E-001
1.005812555426E+000 5.810015266781E-001
1.037244197784E+000 5.729502277445E-001
1.068675840141E+000 5.653240404982E-001
1.100107482498E+000 5.581304128337E-001
1.131539124855E+000 5.513763712515E-001
1.162970767212E+000 5.450685138088E-001
1.194402409569E+000 5.392130034974E-001
1.225834051926E+000 5.338155620534E-001
1.257265694283E+000 5.288814642092E-001
1.288697336640E+000 5.244155323908E-001
1.320128978997E+000 5.204221318686E-001
1.351560621354E+000 5.169051663661E-001
1.382992263711E+000 5.138680741316E-001
1.414423906068E+000 5.113138244775E-001
1.445855548426E+000 5.092449147900E-001
1.477287190783E+000 5.076633680150E-001
1.508718833140E+000 5.065707306196E-001
1.540150475497E+000 5.059680710350E-001
1.571582117854E+000 5.058559785794E-001
1.603013760211E+000 5.062345628647E-001
1.634445402568E+000 5.071034536857E-001
1.665877044925E+000 5.084618013934E-001
1.697308687282E+000 5.103082777510E-001
1.728740329639E+000 5.126410772716E-001
1.760171971996E+000 5.154579190376E-001
1.791603614353E+000 5.187560489975E-001
1.823035256710E+000 5.225322427390E-001
1.854466899068E+000 5.267828087355E-001
1.885898541425E+000 5.315035920608E-001
1.917330183782E+000 5.366899785699E-001
1.948761826139E+000 5.423368995396E-001
1.980193468496E+000 5.484388367645E-001
2.011625110853E+000 5.549898281024E-001
2.043056753210E+000 5.619834734637E-001
2.074488395567E+000 5.694129412363E-001
2.105920037924E+000 5.772709751417E-001
2.137351680281E+000 5.855499015117E-001
2.168783322638E+000 5.942416369801E-001
2.200214964995E+000 6.033376965795E-001
2.231646607352E+000 6.128292022345E-001
2.263078249710E+000 6.227068916427E-001
2.294509892067E+000 6.329611275331E-001
2.325941534424E+000 6.435819072918E-001
2.357373176781E+000 6.545588729450E-001
2.388804819138E+000 6.658813214877E-001
2.420236461495E+000 6.775382155480E-001
2.451668103852E+000 6.895181943745E-001
2.483099746209E+000 7.018095851353E-001
2.514531388566E+000 7.144004145169E-001
2.545963030923E+000 7.272784206100E-001
2.577394673280E+000 7.404310650695E-001
2.608826315637E+000 7.538455455370E-001
2.640257957994E+000 7.675088083106E-001
2.671689600352E+000 7.814075612508E-001
2.703121242709E+000 7.955282869074E-001
2.734552885066E+000 8.098572558545E-001
2.765984527423E+000 8.243805402192E-001
2.797416169780E+000 8.390840273905E-001
2.828847812137E+000 8.539534338944E-001
2.860279454494E+000 8.689743194192E-001
2.891711096851E+000 8.841321009798E-001
2.923142739208E+000 8.994120672032E-001
2.954574381565E+000 9.147993927231E-001
2.986006023922E+000 9.302791526683E-001
3.017437666279E+000 9.458363372297E-001
3.048869308636E+000 9.614558662925E-001
3.080300950993E+000 9.771226041185E-001
3.111732593351E+000 9.928213740630E-001
3.143164235708E+000 1.008536973314E+000
3.174595878065E+000 1.024254187639E+000
3.206027520422E+000 1.039957806117E+000
3.237459162779E+000 1.055632635862E+000
3.268890805136E+000 1.071263516694E+000
3.300322447493E+000 1.086835335774E+000
3.331754089850E+000 1.102333042166E+000
3.363185732207E+000 1.117741661319E+000
3.394617374564E+000 1.133046309469E+000
3.426049016921E+000 1.148232207921E+000
3.457480659278E+000 1.163284697223E+000
3.488912301635E+000 1.178189251202E+000
3.520343943993E+000 1.192931490855E+000
3.551775586350E+000 1.207497198088E+000
3.583207228707E+000 1.221872329280E+000
3.614638871064E+000 1.236043028661E+000
3.646070513421E+000 1.249995641503E+000
3.677502155778E+000 1.263716727099E+000
3.708933798135E+000 1.277193071523E+000
3.740365440492E+000 1.290411700166E+000
3.771797082849E+000 1.303359890023E+000
3.803228725206E+000 1.316025181735E+000
3.834660367563E+000 1.328395391363E+000
3.866092009920E+000 1.340458621895E+000
3.897523652277E+000 1.352203274466E+000
3.928955294635E+000 1.363618059285E+000
3.960386936992E+000 1.374692006267E+000
3.991818579349E+000 1.385414475343E+000
4.023250221706E+000 1.395775166461E+000
4.054681864063E+000 1.405764129250E+000
4.086113506420E+000 1.415371772355E+000
4.117545148777E+000 1.424588872419E+000
4.148976791134E+000 1.433406582723E+000
4.180408433491E+000 1.441816441458E+000
4.211840075848E+000 1.449810379636E+000
4.243271718205E+000 1.457380728627E+000
4.274703360562E+000 1.464520227314E+000
4.306135002919E+000 1.471222028870E+000
4.337566645277E+000 1.477479707137E+000
4.368998287634E+000 1.483287262618E+000
