100 0.19
120 0.18
140 0.20
160 0.20
180 0.17
200 0.21
220 0.23
240 0.22
260 0.24
280 0.25
300 0.26
320 0.31
340 0.33
360 0.35
380 0.37
400 0.42
420 0.45
440 0.50
460 0.57
480 0.62
500 0.69
520 0.72
540 0.84
560 0.87
580 0.97
600 1.05
620 1.13
640 1.23
660 1.32
680 1.44
700 1.55
