# N	plain_est	plain_acterr	strata_est	strata_err	strata_acterr	1/sqrt(N)
200	3.280000000000	1.384073E-001	3.500000000000	3.535534E-001	3.584073E-001	7.071068E-002
500	3.176000000000	3.440735E-002	2.589048585823	1.126731E-001	5.525441E-001	4.472136E-002
1000	3.240000000000	9.840735E-002	3.045672717510	7.472610E-002	9.591994E-002	3.162278E-002
5000	3.130400000000	1.119265E-002	3.108826264264	3.239109E-002	3.276639E-002	1.414214E-002
10000	3.095600000000	4.599265E-002	3.134480294624	2.607908E-002	7.112359E-003	1.000000E-002
50000	3.136720000000	4.872654E-003	3.125572388523	6.208432E-003	1.602027E-002	4.472136E-003
