# N	estimate	estimated_error	actual_error	1/sqrt(N)
100	0.623425971990	3.977875E-002	4.324069E-002	1.000000E-001
500	0.671422010237	1.940288E-002	4.755344E-003	4.472136E-002
1000	0.676517736200	1.333936E-002	9.851070E-003	3.162278E-002
5000	0.656464536525	5.912482E-003	1.020213E-002	1.414214E-002
10000	0.669024968025	4.240212E-003	2.358301E-003	1.000000E-002
50000	0.664364560972	1.886985E-003	2.302106E-003	4.472136E-003
100000	0.666313842575	1.331945E-003	3.528241E-004	3.162278E-003
